,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,25540501.17039397,28632871.3052591,31677824.77498954,34722768.650000565,37767713.31641571,40812658.72134456,43857604.6615602,46902551.0502462,49947497.85897048,52992444.79964296,56037391.97036544,59081422.66647453,62124860.91789851,65167520.819797255,68210759.89324212
1,25591444.531754263,28636612.079152416,31681771.984425705,34726934.79118292,37772095.34995549,40817261.81288933,43854703.80236985,46907591.28430046,49952756.786244236,52997922.42790949,56043088.347621396,59088254.4805506,62132870.760039926,65179068.26878058,68223782.3336532
2,25594200.241887495,28639512.8726524,31678701.515567776,34730058.713269435,37775703.771256976,40820755.3919244,43866065.68293619,46911378.55014448,49956691.854801394,53002005.4846669,56047319.64770501,59092633.8575882,62137948.266961716,65183262.884879455,68228143.97435609
3,25596425.08564226,28641884.382692832,31687299.373469234,34732715.328114346,37762436.2314891,40823506.99558656,43868969.70749795,46914390.30919849,49959809.5872296,53005229.82865693,56050650.95206552,59101028.94035415,62141492.652427405,65186914.87620665,68232336.58689304
4,25598379.23520779,28643888.37102404,31689382.974761855,34734879.66020221,37780377.64994664,40825876.00033185,43871375.45651037,46904049.72497172,49962233.12624278,53007877.07075696,56053378.759537965,59098880.7161809,62144382.764325954,65189885.08061804,68235387.60835125
5,25599508.792077698,28645619.48944457,31691177.022642322,34736736.18601663,37782296.659826,40833123.80765244,43873356.730070606,46918984.88906343,49964547.25784886,53010112.01162405,56055800.687286876,59101240.89434413,62146805.166201025,65192371.71039568,68237937.29561622
6,25599926.670181092,28647140.01445516,31692747.807956498,34738357.25517141,37783968.17933837,40829580.15316122,43875192.85510183,46920806.45540448,49966420.934412464,53012035.70380354,56057651.16758915,59103266.56686345,62148882.52580537,65194498.94197901,68239870.38020666
7,25600268.800545264,28647898.132924594,31694141.320966423,34739792.67484725,37785444.10221248,40831097.06575362,43877124.530420974,46922409.197813466,49968063.86617139,53013716.483396105,56059376.062769875,59105033.31244401,62150459.894623645,65196501.45073663,68242007.25407596
8,25600553.917440657,28648218.52550824,31695390.219648223,34741075.107957065,37786762.164259814,40832450.75912917,43878138.68980244,46923828.80233887,49969519.28405516,53015209.88183883,56060900.77782251,59106385.1705648,62152486.88379856,65197979.34787058,68243492.75329578
9,25600784.243317224,28648474.12433114,31696183.322413296,34742233.226478405,37787949.171837784,40833666.410255596,43879384.52273109,46925103.64922966,49970825.071681865,53016344.15614938,56062162.009055205,59107852.74539626,62153597.4345586,65199318.16316298,68245414.6254167
10,25600968.3228766,28644643.268606108,31696487.44332458,34746882.46409633,37789133.308605604,40842871.79430747,43880511.44310974,46926114.75182456,49971873.292768784,53017625.606049985,56063379.75981084,59109132.27635461,62154885.447137475,65200637.87508099,68246390.41948967
11,25601180.395536233,28648923.255687457,31696664.99627726,34744246.48386178,37792133.00336493,40831232.95699028,43882857.09520932,46927305.32426769,49972921.18730337,53018745.620353,56064503.07858464,59110285.588629514,62156057.28322315,65201831.66729894,68247605.37605298
12,25601336.606089987,28649099.205652412,31696860.552608676,34744621.09995434,37790911.497028545,40836541.318726264,43882377.43072325,46928159.71559814,49973955.59543184,53019747.72612465,56065540.854537725,59111333.48823961,62157120.77875547,65202918.826450884,68248711.76069297
13,25601474.382608924,28649254.314850394,31697032.99120523,34744810.86269124,37792582.87821913,40837543.7765189,43883230.868385345,46929065.585001,49974869.07669041,53020679.19531083,56066487.94961891,59112297.04627908,62158106.1501889,65203915.29241377,68249724.5006038
14,25601596.662121043,28649392.06310952,31697186.195154604,34744979.840737805,37792426.81412,40789770.17237253,43884145.12530748,46929878.38713367,49975717.02907657,53021537.55612021,56067361.34904384,59113184.690559946,62159008.39376047,65204832.13211404,68250656.00541061
